Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
0,0.0,1048.0,1175.0,1189.0,1051.0,697.0,-0.0,1.0,1193.0,1238.0,1196.0,1081.0,838.0,225.0
1,1.0,494.0,580.0,576.0,520.0,446.0,0.0,1.0,531.0,611.0,637.0,607.0,515.0,125.0
3,1.0,640.0,745.0,748.0,687.0,572.0,-0.0,1.0,716.0,803.0,822.0,787.0,660.0,201.0
4,1.0,487.0,562.0,550.0,492.0,412.0,0.0,1.0,505.0,579.0,593.0,560.0,473.0,86.0
5,1.0,328.0,393.0,384.0,333.0,279.0,0.0,1.0,317.0,387.0,413.0,392.0,342.0,22.0
6,1.0,440.0,508.0,496.0,441.0,379.0,0.0,1.0,443.0,520.0,552.0,524.0,451.0,87.0
7,1.0,495.0,584.0,582.0,527.0,446.0,0.0,1.0,539.0,623.0,647.0,617.0,516.0,114.0
8,0.0,1095.0,1236.0,1261.0,1112.0,788.0,2.0,1.0,1252.0,1286.0,1240.0,1133.0,903.0,316.0
9,1.0,669.0,767.0,763.0,697.0,556.0,-0.0,1.0,725.0,797.0,784.0,746.0,615.0,167.0
10,1.0,651.0,754.0,755.0,692.0,559.0,-0.0,1.0,724.0,809.0,814.0,777.0,643.0,179.0
11,1.0,753.0,877.0,890.0,838.0,665.0,0.0,1.0,850.0,947.0,948.0,905.0,755.0,273.0
12,1.0,656.0,726.0,701.0,631.0,464.0,0.0,2.0,678.0,738.0,705.0,657.0,514.0,46.0
13,1.0,442.0,516.0,508.0,455.0,392.0,0.0,1.0,445.0,520.0,540.0,513.0,445.0,100.0
14,1.0,660.0,731.0,710.0,641.0,511.0,0.0,1.0,675.0,750.0,740.0,702.0,575.0,131.0
15,1.0,682.0,790.0,792.0,732.0,596.0,-0.0,1.0,757.0,847.0,855.0,819.0,687.0,225.0
16,1.0,881.0,968.0,951.0,873.0,587.0,-0.0,1.0,928.0,965.0,926.0,837.0,656.0,120.0
17,1.0,586.0,674.0,666.0,599.0,511.0,-0.0,1.0,625.0,706.0,732.0,701.0,590.0,159.0
18,1.0,649.0,720.0,700.0,631.0,487.0,0.0,1.0,669.0,737.0,717.0,677.0,546.0,94.0
19,1.0,821.0,950.0,965.0,917.0,690.0,0.0,1.0,926.0,1021.0,1018.0,963.0,792.0,266.0
20,0.0,1222.0,1390.0,1402.0,1185.0,850.0,4.0,1.0,1456.0,1423.0,1342.0,1197.0,942.0,317.0
21,1.0,752.0,859.0,860.0,804.0,613.0,-0.0,1.0,829.0,923.0,922.0,881.0,726.0,218.0
22,1.0,881.0,992.0,994.0,931.0,656.0,-0.0,1.0,969.0,1035.0,1014.0,935.0,749.0,211.0
23,1.0,226.0,263.0,251.0,203.0,158.0,1.0,2.0,196.0,246.0,268.0,253.0,221.0,-0.0
24,1.0,701.0,784.0,768.0,701.0,535.0,0.0,1.0,735.0,811.0,794.0,753.0,612.0,140.0
25,1.0,304.0,350.0,330.0,275.0,225.0,0.0,2.0,263.0,326.0,349.0,330.0,287.0,2.0
26,0.0,1204.0,1385.0,1425.0,1245.0,923.0,52.0,1.0,1456.0,1489.0,1437.0,1316.0,1067.0,445.0
27,1.0,206.0,241.0,230.0,183.0,138.0,1.0,2.0,182.0,229.0,247.0,231.0,202.0,-0.0
28,1.0,290.0,344.0,334.0,283.0,235.0,0.0,1.0,259.0,324.0,350.0,333.0,297.0,22.0
29,1.0,237.0,257.0,224.0,163.0,91.0,1.0,2.0,196.0,238.0,248.0,224.0,172.0,0.0
30,1.0,596.0,676.0,663.0,596.0,478.0,0.0,1.0,631.0,702.0,694.0,658.0,535.0,97.0
31,1.0,190.0,200.0,167.0,102.0,9.0,1.0,2.0,139.0,169.0,171.0,151.0,101.0,0.0
32,1.0,516.0,575.0,549.0,485.0,397.0,0.0,1.0,507.0,579.0,589.0,556.0,462.0,64.0
